"filename", "language", "Ini", "Rust", "Batch", "TOML", "GLSL", "Markdown", "JSON with Comments", "JSON", "HTML", "comment", "blank", "total"
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\List.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\config.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\F5.bat", "Batch", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\RemovePack.bat", "Batch", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\compile2Run.bat", "Batch", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\compile2mem_analzy.bat", "Batch", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\compiling.bat", "Batch", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\config.ini", "Ini", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\creatPack.bat", "Batch", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\formatting.bat", "Batch", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\debug\run.bat", "Batch", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\project\Build.bat", "Batch", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\project\CopyAsset.bat", "Batch", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\project\CopyRelease.bat", "Batch", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\project\config.ini", "Ini", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\test\config.ini", "Ini", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\test\test-all-macros.bat", "Batch", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\pro_dev\DEV\dse0.1.1\dse_rust\build\test\test-all.bat", "Batch", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\Cargo.lock", "TOML", 0, 0, 0, 589, 0, 0, 0, 0, 0, 2, 77, 668
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\Cargo.toml", "TOML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\config\app\config.toml", "TOML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\dat\mesh\reg.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\dat\mesh\test.toml", "TOML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\dat\shader\meta\test.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\dat\shader\reg.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\register\reg.toml", "TOML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\shader\test_frag.frag", "GLSL", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\pro_dev\DEV\dse0.1.1\dse_rust\debug\asset\shader\test_vert.vert", "GLSL", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
